doc_num,"entreprise,service,permettre,mettre,projet","trimestre,million,consolide,dh,milliard","prix,alimentaire,produit,hausse,production","certification,transitaire,cargo,compagnie,aerien","berd,banque,developpement,climatique,europeenn","mmdh,recette,mars,flux,office","erum,textile,cintre,mezzour,industriel","circulaire,dechet,eau,conseil,menager","dh,milliard,fin,credit,bancaire","destination,compagnie,tourisme,vol,voyage"
25,0.0,0.0,0.0,0.00021856919875967286,0.0,0.5256809107612697,0.0,0.0,0.0,0.0
26,0.03425563228296428,0.010669507220985757,0.05395399173291444,0.0,0.0,0.007122216448606264,0.0,0.02516414440770419,0.03303875192736422,0.013518819337723831
27,0.001917866387268243,0.0,0.2576588086955117,0.0,0.05702840806866788,0.011840954197501532,0.0,0.0,0.003117315304568244,0.009799462672727789
28,0.11640290954173681,0.0,0.0,0.0,0.0254301639125823,0.0,0.0,0.03678077013743522,0.027850859061910017,0.0
29,0.1291316651774873,0.015018906074835414,0.0,0.011464941484217795,0.0,0.006028797873034224,0.0,0.015253626616153737,0.005301679143523466,0.0
30,0.0,0.008883663210498367,0.026268900147807552,0.0,0.0,0.0,0.008962935455617979,0.0031129378429298957,0.4220596148333244,0.0
31,0.09325207568500028,0.0,0.0585018496937535,0.002911246695211159,0.005744100691905429,0.0,0.018890968998887942,0.058147499547455676,0.0,0.001965184763932994
32,0.09807521988777344,0.004395177388873986,0.11849427494581546,0.010688656731466148,0.013647778039380483,0.015282224890763111,0.03990079772776834,0.02050278808450509,0.027996471002465727,0.0
33,0.0,0.0,0.38501411686266285,0.0,0.04976635408607409,0.0,0.0,0.0,0.0018897004212909865,0.0
34,0.09741658322358095,0.00297545768336156,0.030824503771371636,0.023926957451058675,0.006676433925154104,0.004316877407847031,0.0,0.0,0.016972347497676565,0.0
35,0.0,0.0032486367652193667,0.0,0.0,0.20648183008712873,0.0,0.012068339725914671,0.0,0.0,0.0011684775365371984
36,0.0733737389068132,0.01338044130202624,0.03813702085539598,0.0,0.013771626864440412,0.005393421582627597,0.014532476958351014,0.08328672820818758,0.0,0.0
37,0.131248833679624,0.014150011845923268,0.0,0.01863075279184694,0.0,0.0,0.009243169411613487,0.008286100706606472,0.0035344889577957487,0.0
38,0.08940566988137252,0.0,0.0,0.0,0.0,0.020645216557525017,0.019501688531233796,0.0,0.019208503161156437,0.0
39,0.01678912710560789,0.0,0.0,0.0,0.2452182434750877,0.0,0.0,0.050692103755742936,0.03577627544079367,0.0
40,0.07002059152402987,0.0035514548519122243,0.174892948905814,0.0,0.009799242232793976,0.00013775768920908836,0.0,0.0,0.011540647798653176,0.0
41,0.09815503862931384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0026207986346774505,0.29680602592271305,0.0,0.0,0.062325898090961965,0.0,0.0,0.024119642886364333,0.0
43,0.09866718102528592,0.011186591781297415,0.0,0.0,0.010255718461310301,0.0,0.0,0.0,0.0,0.03976700129346227
44,0.037781694376707815,0.013831767710916966,0.0,0.16290792026997042,0.004152319119036778,0.0,0.010968583450065792,0.0,0.0,0.0
45,0.014467895948382055,0.0,0.0,0.10465555074308769,0.03614521036258324,0.0,0.025112880499556747,0.0,0.0,0.07198959854580106
46,0.0,0.0,0.0003076892052746798,0.11158133595548887,0.0,0.0,0.05150321686865478,0.014777163911012432,0.0,0.0
